timestamp,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32
1778531940.176087,-7621,30059,-12290,20102,-7917,8001,4851,-12516,-16554,-1623,20431,-1397,-11662,16112,23501,-1355,13131,14989,24030,23606,23266,-40797,40338,1159,-972,16022,-19459,19970,3607,-4736,-53317,-13520
1778531940.177087,-20361,36882,-24818,48515,-11267,-1248,-6854,-3018,7951,-7925,14032,214,-42620,26688,1421,1582,11851,25044,43610,24044,26666,-27435,37627,5012,13748,-12795,-26034,35116,27600,-9995,-51072,-13080
1778531940.178087,-28185,7257,-23664,17470,-7717,-13164,-18223,10687,-1492,-12362,34999,-7694,-45876,30277,-29389,4531,9424,9847,4976,15606,27039,-7533,26603,10619,25624,-9161,-31834,35832,36322,-16944,-43997,-24789
1778531940.179087,-21983,8874,-17031,-9914,-7147,-14273,-25800,21351,13177,-12957,23199,-18634,-22701,27584,-40443,4971,8260,-4254,-656,-1632,19583,10911,13063,7636,14377,-21760,-34441,17185,-10721,-22483,-32132,-38679
1778531940.180087,-8773,-2129,-11399,-6474,-5973,-25317,-20558,22449,27093,-14923,-7560,-23393,1296,21645,-40885,4631,7392,1375,-15864,-55393,4468,30748,177,-494,957,-30015,-33106,-11545,-15281,-27707,-19359,-39960
1778531940.219876,1358,-51972,-6566,-15782,-8190,-44108,-7027,19443,19686,-12944,-36077,-12073,4518,9807,6351,3307,11899,-4638,-17104,-26495,-18016,40249,-4647,-8806,-4967,19213,-30236,-25524,-11907,-27819,-5481,-18604
1778531940.220876,717,-32815,-6828,-25585,-14064,-18659,8597,12546,2494,-8397,-47185,4738,-2222,2959,48777,-3042,18138,-18286,-23109,10643,-36059,43615,-7493,-9094,-7225,27877,-28154,-19274,-27350,-28888,8170,15811
1778531940.221876,2689,-614,-4049,-20896,-17847,33169,18285,8059,-36742,-8057,-17729,15476,742,-4750,30165,-3774,23101,-16618,-13646,-1130,-52497,41199,-6664,-7204,-7494,19205,-19903,-9369,-17141,-28008,18597,43303
1778531940.222876,9319,40076,4738,-11239,-21073,44578,20233,3348,-38558,-9111,7892,10404,17653,-10888,13103,-648,26084,-10308,37598,37581,-55361,36181,-3609,-4946,-12137,-788,-15564,-9141,6785,-27761,28724,44053
1778531940.223876,15802,14622,7774,28260,-21321,29679,14120,-6732,1093,-8370,-4880,9396,29487,-18466,6595,-1785,27661,3201,38112,38731,-43901,30912,-5217,-1635,-12600,4437,-12284,-15926,41523,-26865,34507,23367
1778531940.224876,13877,19429,7465,54326,-16100,18533,2083,-14943,7116,-7737,8801,8331,33336,-32333,-9126,-327,28647,27345,15799,7943,-24802,27041,-9388,2946,-8504,-39150,-10275,-12529,21638,-27283,34808,8261
1778531940.225876,10008,23301,8300,15573,-8921,395,-8483,-16642,16950,-9056,51438,7202,32002,-39521,-11442,-1324,25313,22569,-35434,-40614,-3512,25338,-15325,5981,-748,-29095,-10269,3611,-4150,-25238,37228,9464
1778531940.266367,14883,-21750,8522,-16619,-2740,-17463,-8094,-12901,16880,-10976,40548,3192,17398,-43413,-27828,-1174,23866,1085,-40919,-16648,8888,21147,-19143,3462,10846,10038,-12224,20900,4789,-18511,38665,23083
1778531940.267367,20999,-41198,15341,-12748,4665,-13055,-2090,-4273,18782,-9480,-9015,1606,-6266,-38149,-48875,-1141,14869,-10980,-6180,-23292,14556,17949,-23600,4953,15263,17790,-12181,28862,-21443,-7665,39741,27261
1778531940.268367,9708,-39231,19169,-20620,13697,-15842,7760,-3496,22351,-8094,-20100,-344,-27692,-23594,-6606,199,11152,-12702,4357,-24454,8477,10394,-24260,8959,4398,19596,-13454,26959,-37294,4659,42152,8611
1778531940.269367,-13844,20061,15870,-24390,16627,-40157,16927,-2626,-20742,-7081,-18352,-7611,-29506,-7847,35833,125,4046,-13801,23013,39264,2085,4384,-18671,6783,-262,19370,-12184,22295,-22103,19331,42852,-21915
1778531940.270367,-30203,14206,3909,-15633,21708,-37493,18538,-6929,-47922,-3356,-26353,-12914,-15690,5368,39616,57,782,-3612,12210,37997,-3601,-2745,-12236,-6863,4591,12488,-8317,3723,15577,34100,41415,-47599
1778531940.271367,-31043,18643,-9439,-3397,22930,8822,10181,-6260,-23891,724,-27297,-16329,-6490,8158,30937,1670,-3742,375,23950,17675,-1304,-5576,-7875,-19195,4167,-47501,-3310,-21350,37724,41991,41364,-50431
1778531940.272367,-30208,34313,-16848,36810,22807,39270,2155,-366,-1588,536,-19085,-7326,-23297,7233,-1753,2375,-7953,-2223,5912,-8714,13408,-4977,2123,-18688,-7365,-21706,3284,-38866,10152,44789,35873,-37758
1778531940.312861,-26541,18447,-18388,56686,17503,39407,-8654,4900,25883,3237,7735,3005,-34566,2223,-22378,-454,-11084,7436,-35985,-2283,30211,-2752,7860,-8326,-12618,-3596,14242,-34948,19477,40333,30497,-17572
1778531940.313861,-12395,-20069,-16639,6989,11211,33566,-14522,6253,21653,1926,49043,9107,-19369,3486,-7158,-5027,-14415,19657,-34833,-46448,43330,-2367,14682,300,-9267,7647,20936,-10457,11314,33547,19610,-7140
1778531940.314861,17872,-55430,-13690,-27749,2253,9889,-13592,8535,7450,-598,40035,7414,14719,5926,-21845,-8349,-17528,10353,-15777,-35365,47853,-2800,23193,14252,-447,18908,24820,9100,-32710,22081,6659,5426
1778531940.315861,42971,-10943,-10883,-18371,-4180,-19345,-11727,10330,25048,978,-1566,3478,36001,12491,-36513,-4339,-20292,-1695,44598,23970,43871,-11772,27329,20621,1434,41332,31204,10427,-38886,16001,-4541,13991
1778531940.316861,45562,-2863,-3162,-21383,-9374,-15327,-11032,8577,3593,325,4247,3429,34320,19405,-13299,-187,-25585,-11119,38840,18878,25634,-27513,27918,19392,-1740,8424,30328,4090,-21907,9380,-14999,17904
1778531940.317861,31648,8273,5645,-22456,-8276,-6586,-7661,8462,-35331,3866,9927,5733,28216,19388,13024,869,-31596,-21613,8763,26615,5548,-43625,26822,2747,2894,-40317,31062,7075,19550,8733,-25225,22186
1778531940.318861,16569,22086,14996,-6999,-9285,-31017,-2701,5062,-40349,6369,-31538,4945,19242,16487,41705,1084,-36556,-9170,-14974,23532,-11273,-52985,18752,-13772,6554,-14837,30285,20953,18371,8746,-28436,26466
1778531940.319861,6973,40440,15261,7330,-5843,-48103,-1820,-2751,-26991,8753,-48830,-103,11188,17436,50549,1523,-40175,6411,-27584,9363,-25666,-59446,9913,-15211,5574,-24779,27917,29000,12879,7431,-31009,34331
1778531940.358163,-12554,20833,10577,41920,-7120,-18018,1453,-7710,24036,11072,-22307,-2472,1342,21069,894,8133,-43075,6973,-5906,-50814,-32099,-52095,-1121,-8883,5489,-8133,25283,19540,45730,4343,-28476,37211
1778531940.359163,-34878,-39647,4131,54695,-10598,21559,3457,-8670,39495,12305,6795,-4647,398,28496,-25495,6821,-42705,8347,-23789,-30265,-34200,-38092,-10841,-8749,145,17728,25194,1642,694,-79,-27006,31073
1778531940.360163,-40690,-27584,3330,-2153,-14678,40410,2935,-6474,12014,13186,20177,-6065,-1523,37661,-17372,4505,-39580,5491,3425,-1712,-33199,-21396,-12639,-11187,-1616,56125,25839,-15926,-37295,-3267,-21087,4671
1778531940.361163,-23185,-19154,2923,-38024,-16858,46514,-1240,-5260,18427,14180,26246,-5680,-16412,36126,-22810,-1399,-30445,743,30918,-11115,-28175,-4386,-12764,-3289,-4191,4396,25809,-27296,-33399,-5911,-16655,-28279
1778531940.362163,-5768,-3738,3037,-23553,-17013,31468,-715,-4110,10508,9274,18323,-3576,-42002,22617,-16777,-7839,-23515,632,37554,30446,-25436,12884,-11017,5879,-3338,-14474,25382,-35299,-15654,-8378,-14921,-48821
1778531940.363163,-3711,-2426,2032,-21613,-15087,-11583,-1646,-3626,-14009,7157,28165,2290,-51194,4831,-9601,-9343,-14389,-1222,14183,42982,-18397,19470,-9043,13359,-2483,-11033,21618,-30391,6542,-7594,-15080,-44758
1778531940.364163,-4074,30669,-615,-16844,-7267,-23953,3607,-826,-33806,4087,20927,3774,-25559,-19746,-4344,-5197,-3465,-11343,-48685,20826,-14127,27949,-6718,15815,-3859,-39504,17892,-6038,-3291,-8973,-15305,-19501
1778531940.403662,8236,47312,-6161,-437,-895,-5450,13853,1238,-50349,2628,-28102,430,7510,-35849,33874,-5370,2673,-13013,-36989,-31727,-5331,28146,-9533,20234,-1401,-23434,12262,22442,39338,-7991,-17822,-3692
1778531940.404662,20953,-5400,-7382,14798,9729,-17117,19884,2447,-3043,370,-47987,-72,21577,-45926,52436,-11555,10677,-430,-13389,-12738,-1051,30701,-12531,15957,1731,18370,4195,33629,49399,-9697,-20554,-10093
1778531940.405663,21156,-22332,-5346,42129,12758,-41140,21351,758,44042,-1966,-16426,-824,12776,-46464,12888,-8308,14796,5303,26579,-29824,2760,34954,-15039,-7401,3866,50001,-8511,23475,-10194,-16648,-24108,-21511
1778531940.406662,12348,-29484,-6833,49641,16462,-32820,14968,2085,30038,-2290,-2698,-126,8598,-41529,-14822,8158,18182,9840,26988,-35791,5868,36199,-15334,-32752,1824,3663,-17847,8419,-23455,-20489,-23342,-21108
1778531940.407662,13582,-9298,-9023,-9235,16535,-1158,4454,600,19077,-3790,-12501,-321,19717,-40610,-32910,16159,18776,9600,8685,27238,8781,33408,-14218,-35514,1384,18352,-25746,4353,-28604,-27886,-24062,3365
1778531940.408663,27311,-21251,-6040,-43724,13716,24466,-8689,686,2333,-8452,8968,-359,32151,-36396,-31960,11550,22036,-25,16295,37248,14714,30016,-5662,-16517,852,-11959,-31933,10393,-18727,-33913,-18144,36632
1778531940.409662,24373,4476,-1953,-25899,10572,45861,-15580,1532,-6377,-10852,34597,-530,33333,-30050,-2985,7627,21016,-6026,-13382,24849,20349,21646,3826,5022,589,-45288,-34482,5789,-18471,-35097,-13471,57299
1778531940.451500,1108,46385,5009,-17533,8553,46964,-17046,1466,-11493,-12580,37411,855,22951,-18766,-273,3720,22151,-1366,-23818,1287,32393,14712,11515,16308,1272,-34226,-34107,-9778,593,-30078,-7086,48069
1778531940.452500,-23405,27278,7881,-10991,6267,7437,-11454,-72,-47743,-12679,20808,-2326,8201,-2786,-6854,2843,23535,-3549,-43534,8299,42491,4269,18088,24977,-1216,19128,-29969,-29625,59246,-20998,-2658,25319
1778531940.453500,-33412,3070,8963,8850,3595,-24216,-5336,777,-33170,-14272,-10013,-287,-13775,13547,23729,-3046,26221,-2106,-5662,-45478,46819,2333,18422,26632,-2997,28465,-27600,-31799,28087,-9893,549,1539
1778531940.454500,-37131,-26330,7571,18213,1451,-12910,1503,-505,22155,-11973,-26235,-1114,-37078,26261,38557,-6553,24769,433,46865,-43647,40433,3139,19330,10638,-410,12432,-21766,-24256,-5611,571,4995,-6435
1778531940.455500,-39374,-9437,3053,41539,-2443,-10316,-224,-1184,39342,-9533,-12054,-1017,-39977,29950,26811,-16401,27105,640,37199,11563,24523,5664,18296,-7115,-580,39707,-19557,-9894,-7589,10685,5954,-7913
1778531940.456500,-36210,-30575,438,39046,-3564,-30535,-3623,-4653,39981,-7511,-18281,3164,-21552,25091,5251,-24621,23343,1294,14396,13772,1607,9706,16729,-12409,-21,-13025,-19486,9711,-23142,17365,7862,-10037
1778531940.457500,-9058,-25446,1070,-20083,-7831,-33528,-9674,-5796,5769,-5100,-39233,-144,-6155,15671,-37242,-8994,21326,6341,-37337,27300,-24797,12697,12432,-6804,2737,-41429,-21110,31808,-29234,20661,7219,-19790
1778531940.500278,30480,18617,-3090,-51937,-10712,-14006,-14582,-6258,-16342,-2556,-2350,634,-10722,10965,-42332,7650,17497,4402,-25479,32204,-40933,8695,5995,-9720,2444,-34524,-23600,44929,-37282,21214,11343,-26915
1778531940.501278,52361,36313,-1906,-24948,-8863,1749,-10231,-5678,-1748,2885,40592,926,-23403,12112,-8546,6989,13225,-3064,-10539,22491,-45395,-3792,773,-21130,3279,8451,-22040,31138,22767,21222,13397,-34105
1778531940.502278,48177,30361,-1691,-10240,-10664,31784,-4794,-3114,-32108,3571,31717,4606,-15699,19048,1585,3030,9154,-2207,-6009,-41818,-39190,-18324,-3187,-23567,5526,486,-23163,2086,51059,21001,21853,-32107
1778531940.503278,35258,-9153,-1667,-2548,-10182,56247,4328,-1849,-43313,5611,11724,5498,19042,28547,6443,12487,590,-2221,15639,-30964,-24269,-31153,-7717,-1559,3892,29860,-21776,-18422,12104,21451,29967,-24750
1778531940.504278,24376,-11,-200,15747,-9080,30221,14739,2247,-6143,8188,12149,761,47060,33169,20155,24117,-886,-372,20881,-10878,-10299,-42094,-12039,21916,-377,48714,-19235,-17395,16074,20258,38234,-9769
1778531940.505278,5908,-18991,83,21308,-9689,-10160,16336,1974,22511,6299,3019,-1385,46141,33217,16188,17074,-4440,997,44194,-18225,-2398,-46006,-14209,31201,-7712,-6071,-14929,-9794,2868,20078,44842,13551
1778531940.506278,-25720,-33529,-1083,37819,-7101,-16658,17611,-5,55465,7298,-11604,-4539,27611,25198,29091,1569,-6090,479,-3481,22959,-5473,-46311,-12873,32294,-5976,-30362,-7917,-11728,-24897,14675,50250,33877
1778531940.545044,-45423,-20227,-1199,29266,-3172,-11584,14207,-240,28661,7012,-31314,-7596,11029,17333,16661,-11256,-4696,304,-40123,43298,-14551,-35550,-12133,23042,-2372,-27571,2171,-20834,-47475,10770,52779,44350
1778531940.546044,-41816,19854,1249,-30415,981,-21234,10059,3401,-17355,6366,-40344,-6506,2368,9377,-28634,-17756,-4943,-1387,-43950,28381,-20240,-28725,-9981,-3364,-3601,-10771,6890,-26428,-29153,5495,49390,35199
1778531940.547044,-22133,40982,-460,-53126,3152,-26817,7847,5667,-10377,5282,-10708,-4749,-6588,4636,-41110,-19403,-4090,592,-8345,-20579,-23037,-17786,-7772,-37593,-6921,-22425,13074,-11793,31964,1039,41331,15068
1778531940.548044,-11095,7480,735,-18229,8592,-17765,2613,10416,-18335,2513,23766,1280,-12015,-2643,-23228,-10692,376,-333,45089,-7190,-12937,-10181,-6920,-49093,-3064,43266,18841,12971,22482,-2215,32374,2092
1778531940.549044,-7692,11787,2065,-831,8816,-11740,398,7930,-30300,657,13226,5820,-12003,-15554,-3082,-7048,824,-669,22051,-31312,4521,-1795,-5179,-25108,5233,41350,18401,26370,16574,-1138,16403,6483
1778531940.550044,-807,-3818,3193,5058,12016,11425,-1855,4735,-22167,775,6769,2189,-20410,-32308,22537,-14038,873,-167,13079,-42092,25177,5992,-5987,4390,9693,3823,20102,33769,36099,1689,3244,15069
1778531940.551044,15673,-21182,3450,18584,11672,48008,-3671,2146,-5815,-3983,33538,2497,-35902,-51698,20371,-4858,-2319,-3744,-5867,12407,43540,12768,-1914,16705,10027,-15179,21610,34630,2819,4451,-8247,11386
1778531940.552044,22524,-39385,3456,21918,7861,46567,-5391,-3610,46368,-5673,27811,4868,-48598,-62573,5318,22437,-2772,-1721,-11331,33822,51697,18793,37,16263,5974,-18036,20085,20400,-28367,5176,-16842,-14778
1778531940.592449,13380,-12745,3618,30544,4172,8846,-9695,-5900,54118,-6365,-12595,12853,-25399,-59185,21079,35276,-5636,2239,-21892,28945,49671,26080,6843,19773,326,-32470,23836,-6730,-51524,4287,-25283,-41591
1778531940.593449,11029,29677,2127,19670,1880,-13264,-8617,-12397,305,-5879,-28459,13330,12298,-46783,17535,16533,-10280,4036,-37404,7400,39366,30189,9078,21973,-1149,-26826,26504,-35471,-10781,2302,-32295,-52148
1778531940.594449,24400,15523,-3385,-35221,-509,-13330,-11520,-15123,-15416,-8322,-25513,2423,37362,-26802,-15480,3295,-11409,1387,8860,19844,23457,30295,12929,6591,-1983,44937,32341,-40420,17181,-5163,-35701,-36627
1778531940.595449,30107,19351,-5292,-52450,-3261,-20082,-13289,-15996,-27130,-7105,-17539,-6678,26398,-7986,-31078,4469,-12520,-61,37360,-39228,8947,22806,14316,-2235,-4312,27822,35531,-20954,-950,-11977,-38769,-6733
1778531940.596449,17212,9890,-5808,-14380,-5305,-18881,-14892,-10854,-20730,-6183,-5305,-10237,11610,6584,-34309,1183,-14633,-1383,47706,-43407,-3285,17901,13293,-5327,-13703,16965,38190,-1253,37188,-18238,-40985,11341
1778531940.597449,-6568,7691,-7287,4852,-6908,-15389,-14561,-109,-11321,-4012,-2720,-13673,16347,11423,-15654,-10967,-13313,-3908,-1081,-246,-12363,8911,11566,-9793,-15132,1182,40897,3720,39899,-21783,-43216,13241
1778531940.598449,-23148,-32388,-3258,12571,-9401,-16485,-9100,5499,-21726,-2229,8994,-12087,29985,18251,25228,-19997,-11711,146,-46108,4067,-16783,5279,8346,-32054,61,-9677,37390,-4641,1314,-23033,-46558,8444
1778531940.641655,-28738,-37872,761,21938,-9420,-8829,-3919,9502,19541,-1229,41090,-8386,29651,22528,24808,-29499,-12430,-3351,-27963,21809,-20779,3217,3652,-42825,9706,-51666,33018,1194,-31562,-21718,-47248,6071
1778531940.642655,-38705,2020,1467,20875,-12273,28332,3536,6232,54982,-893,33123,466,13479,29357,11756,-26378,-11239,-5989,-14363,33369,-24866,5964,319,-14747,4650,-22779,26200,19220,-38357,-19016,-45463,16787
1778531940.643655,-46000,10965,1145,21312,-11086,46541,12025,5044,28359,244,-8497,5442,-5877,35168,14468,-4092,-11493,1510,19652,33837,-26505,11923,-691,23972,1413,24634,16033,35923,-5643,-13929,-43494,29569
1778531940.644655,-33112,19505,3065,9259,-7890,23301,17862,6418,-773,-1295,-15863,4220,-23647,35799,2831,22327,-9630,8443,9065,-32365,-25956,13182,-2672,45616,10952,15379,4369,30188,-15694,-8960,-40176,32732
1778531940.645655,2092,11878,2937,-39643,-4160,-730,18399,8379,-31585,-1983,-4428,1476,-41908,27024,-5776,21284,-12452,9692,23529,-28037,-23424,15141,-3762,40959,20025,28074,-7542,13626,2543,-7848,-29708,22285
1778531940.646655,38598,28852,4689,-46293,-1200,-11028,14403,6295,-30663,-885,-19795,9582,-44520,17512,-13577,7173,-10455,6420,27858,-16041,-18262,9090,-5637,24933,9926,21291,-15847,-5602,50471,-2850,-17786,9119
1778531940.647655,47386,-7007,4097,-5231,6989,-18350,12681,5423,-4555,-3723,-32012,18736,-26480,8468,-39868,16949,-10165,-3866,-12062,-26282,-16226,2638,-8228,1449,-7665,-4638,-19684,-23329,29827,-943,-4640,-7151
1778531940.648655,42543,-35335,1477,11741,12148,-20434,9852,4650,-18947,-2883,-11718,20930,-205,6018,-19923,35511,-9041,-10972,-35444,8544,-16148,-5527,-8631,-28088,-12929,-53175,-21474,-38224,-21,2264,7219,-18814
1778531940.687950,39031,-21559,3133,14849,15475,-8041,7389,4786,-2657,-2613,12176,6428,5197,11576,17944,17938,-6253,-6642,-53950,40321,-14077,-12788,-7590,-48375,-13078,-12931,-22186,-43051,-24616,7831,18723,-26187
1778531940.688950,26609,-4355,6683,20240,17306,-12357,6597,5289,34900,-3803,27313,-11799,-8666,16377,24496,-12247,-5646,-1042,7114,36661,-12796,-21020,-8214,-30065,-11470,-2505,-21530,-21531,-18696,12338,28331,-28554
1778531940.689950,-1081,12406,6784,13716,16960,-17676,4142,-1070,38046,-3263,24562,-17204,-7358,20821,27058,-27976,-1383,-1375,40996,-12589,-4106,-22461,-5660,678,-8955,6713,-20571,10127,-17124,13270,35232,-18623
1778531940.690950,-33806,2547,1731,11786,14014,6576,2707,-13911,24875,-1053,5799,-14715,20016,19273,10165,-26149,2991,5525,34532,3658,10258,-20880,-2480,9256,-7289,30843,-23647,31948,-34274,16433,35167,-10194
1778531940.691950,-45069,31688,-6013,2571,11448,33351,-5681,-23601,-21273,-1012,5672,-10234,49625,5479,-9155,-22160,7231,3688,8222,-26383,29726,-21726,2042,4781,-1960,32816,-23504,24705,19416,15519,36016,-1402
1778531940.692950,-32095,20601,-13709,-38006,8688,27483,-11329,-24422,-43017,-2547,7504,-11160,52151,-8472,-3772,-13157,10693,6720,-28172,-43653,43946,-18262,4176,8663,6846,-5230,-27369,11364,43958,13164,31687,-5080
1778531940.693950,-17095,-13456,-13667,-37648,-192,11259,-15991,-18532,-11783,-222,-22106,-5754,23483,-23171,-8390,-4845,14021,10455,-10040,1296,53593,-15832,7544,26525,23113,-39740,-31281,9714,19580,8681,26624,-4348
1778531940.734012,-13535,-27871,-12743,808,-7175,-1381,-17636,-6370,-10446,3685,-40487,583,1397,-31704,-27845,-6995,17334,4076,-25706,23001,53277,-13981,8434,29172,24873,-8817,-32566,19365,3845,2686,21789,2730
1778531940.735012,-9660,-19056,-8074,18735,-12002,-16723,-19411,3744,-2952,4625,-12025,1944,-11345,-33111,-20912,3181,17266,-11376,-16330,25706,37485,-10398,10469,14539,6656,-24798,-35486,17324,-10940,3248,19019,15397
1778531940.736012,6195,700,-1600,17128,-14718,-18977,-18358,11452,12960,8100,9596,4516,-18263,-36829,1518,39563,16534,-14606,6568,13312,16187,-6136,11443,-404,-5295,590,-35138,-1221,-11129,3304,16929,31390
1778531940.737012,18093,-8187,3364,17199,-16409,-8312,-11912,12930,22008,13116,5234,16068,-21544,-35475,19936,48760,14270,-9384,36992,27943,-6020,608,11479,-15823,-1753,29756,-31767,-23779,-39016,3288,16653,30376
1778531940.738012,14963,17020,8686,7260,-14833,-6154,-7935,19303,37823,15840,12166,27487,-21091,-37162,36184,15568,14369,-157,50835,-29656,-19914,6732,11364,-39672,103,36444,-24207,-36303,-26891,5443,19830,18880
1778531940.739012,8578,28620,16549,7079,-9375,-11999,-2328,21211,5236,20839,23304,27451,-20722,-34526,14827,-8953,10543,14245,-14323,-40802,-25216,11365,8604,-52922,-15856,-7563,-16216,-35340,25899,5316,19161,-3101
1778531940.740012,14656,15201,18761,-3696,-5849,-6901,1739,15485,-38367,19699,20008,6268,-27787,-26389,-9932,-5448,9154,15860,-39053,-9072,-19834,11616,3869,-27762,-32813,-12403,-11597,-23864,24026,7143,19195,-10472
1778531940.781106,25781,-14899,13167,-33612,-8144,16650,5654,7010,-26845,17701,9957,-15731,-35779,-10297,-6986,-2588,7970,2216,-42171,-5547,-12308,10432,-4402,19436,-18296,-11105,-3204,-4291,17243,6021,17905,-8339
1778531940.782106,27183,-23005,3408,-30542,-9769,23883,10788,-3875,-14734,14397,-16666,-22009,-22390,7301,-10193,-22673,5420,2168,1358,11564,-6638,8187,-8612,51808,3353,-37712,-1169,23866,11536,3351,14021,-3236
1778531940.783106,8074,-3802,-4784,6221,-10982,16977,14188,-5636,2641,8579,-28108,-16812,19375,25749,-16247,-36322,4155,821,27396,31460,-5728,6057,-15379,43298,14147,-2590,3963,45666,5612,-192,10795,-3700
1778531940.784106,-8841,-15749,-6701,18771,-7761,8203,16801,-968,12008,2472,-11978,-11781,48312,34442,-11914,-31453,3592,-7099,12730,39377,-14095,3919,-18725,23085,9488,25961,3454,40913,-18488,-2401,4470,-11484
1778531940.785106,-17620,-2264,-4577,17601,-4551,-7233,19287,3702,6924,-2200,-2956,-10323,41175,34586,-9766,-19275,1791,-12009,25960,-21152,-28278,962,-17335,2274,15619,30995,4227,17489,-46630,-4772,-816,-19835
1778531940.786106,-25111,14749,-2675,14375,6587,-16285,17051,398,29534,-8323,-14547,-13224,19455,26828,10706,9814,1707,-13355,5165,-20137,-38473,3663,-12178,-14674,17500,190,4073,-9159,-6071,-6857,-5885,-17499
1778531940.787106,-40089,31832,-3457,4167,17102,-8654,13914,-11394,24761,-12586,1147,-5684,9848,21403,36508,33169,306,-13481,-1879,-17612,-39842,5114,-9555,-34194,17630,10355,5047,-13120,15686,-7425,-8733,-9215
1778531940.826904,-40627,8957,-10723,-658,27000,-3252,10540,-21672,-14092,-12774,30520,1234,19044,16445,20924,29469,-3406,5006,-42168,-32408,-32630,5314,-4522,-29880,10818,-18411,11059,-3654,9347,-7646,-7853,2671
1778531940.827904,-20813,-16308,-10296,-7048,30849,-8363,4829,-25581,-29326,-16411,25720,9595,20597,14819,-3280,10731,-4887,25969,-42766,-1850,-14577,5959,-1478,-10160,-4359,-34537,16462,-7561,21816,-8411,-8473,11267
1778531940.828904,11494,-7164,-9081,-28222,29535,-6045,1107,-20471,-29294,-17313,5914,20210,5906,14183,-12344,18562,-6201,17861,12821,31991,6771,3429,1244,-1226,-27174,-8632,25691,-22309,20165,-6918,-6264,13484
1778531940.829904,31416,-15704,-6892,-19045,19892,2790,-4423,-15135,-5187,-21227,-2652,33539,-16832,11399,-20690,35825,-5922,3480,42161,35414,26404,3247,5627,-6888,-29849,16525,33313,-35203,9710,-8501,-6549,12220
1778531940.830904,35909,-15162,-6197,11012,10980,9718,-8489,-6841,18416,-21140,-8189,31377,-32974,8984,-7951,10933,-7130,-6050,47350,-2124,38371,1381,5283,-3764,-12043,15681,38717,-26755,-28583,-6291,-9330,10218
1778531940.831904,35216,-8144,-6472,17044,1395,13360,-14433,2996,6613,-22504,-11129,9570,-41896,2377,-4244,-32119,-6816,-20344,-11654,12596,43338,-935,10620,26139,-907,10667,44785,-455,-31364,-7673,-11521,7155
